name,REGN,type,date,region
Новокузнецкий Муниципальный Банк,2865,отозв.,2014-01-09 ,Новокузнецк
Аскольд,2480,отозв.,2013-12-24 ,Смоленск
Рублевский,2192,отозв.,2013-12-24 ,Москва
Банк Проектного Финансирования,1677,отозв.,2013-12-13 ,Москва
Инвестбанк,107,отозв.,2013-12-13 ,Москва
Смоленский Банк,2029,отозв.,2013-12-13 ,Смоленск
Волжский Социальный Банк,2428,отозв.,2013-12-02 ,Самара
Нафтабанк,715,отозв.,2013-11-28 ,Махачкала
Мастер-Банк,2176,отозв.,2013-11-20 ,Москва
Ураллига,1626,отозв.,2013-11-20 ,Челябинск
Волго-Камский Банк,282,отозв.,2013-11-11 ,Самара
Стройиндбанк,155,отозв.,2013-11-11 ,Москва
Первый Экспресс,3237,отозв.,2013-10-28 ,Тула
Принтбанк,546,отозв.,2013-10-25 ,Москва
Банк Развития Региона,3315,отозв.,2013-10-14 ,Владикавказ
Тверской Коммерческий Банк «КБЦ»,914,отозв.,2013-10-14 ,Тверь
Национальный Республиканский Банк,3359,отозв.,2013-10-07 ,Москва
Пушкино,391,отозв.,2013-09-30 ,Пушкино
Трансинвестбанк,3238,отозв.,2013-09-19 ,Москва
Басманный,2158,отозв.,2013-09-19 ,Москва
Бизнесбанк,2862,отозв.,2013-09-19 ,Махачкала
Европейский Индустриальный Банк,2503,отозв.,2013-09-10 ,Москва
Депозитный Кредитный Дом,3474,отозв.,2013-08-22 ,Москва
Инстройбанк,2743,отозв.,2013-08-22 ,Москва
ВЕБРР,3418,отозв.,2013-08-09 ,Москва
Одинбанк,3197,отозв.,2013-08-09 ,Одинцово
Анджибанк,570,отозв.,2013-07-19 ,Махачкала
Паритет,1860,отозв.,2013-07-19 ,Москва
Липецкий Областной Банк,1794,отозв.,2013-07-08 ,Липецк
Махачкалинский Городской Муниципальный Банк,3192,отозв.,2013-07-08 ,Махачкала
Липецкий Областной Банк,1794,отозв.,2013-07-08 ,Липецк
Банк Развития Предпринимательства,2836,отозв.,2013-03-22 ,Москва
Сулак,749,отозв.,2013-03-01 ,Кизилюрт
Экспресс,3084,отозв.,2013-01-21 ,Махачкала
Межрегиональный Клиринговый Центр,3424,отозв.,2012-12-27 ,Москва
Трастовый Банк,2780,отозв.,2012-12-07 ,Махачкала
Дербент-Кредит,2090,отозв.,2012-11-26 ,Дербент
Городской Расчетный Центр,3346,отозв.,2012-11-12 ,Курган
Трансэнергобанк,3106,отозв.,2012-11-02 ,Махачкала
Межбанковский Расчетный Центр,3325,отозв.,2012-11-02 ,Владивосток
Мобилбанк,532,отозв.,2012-08-09 ,Ижевск
Камчатка,2966,отозв.,2012-08-09 ,Петропавловск-Камчатский
Хлебобанк,1812,отозв.,2012-07-27 ,Москва
Витас Банк,1955,отозв.,2012-06-29 ,Москва
Объединенный Банк Развития,3345,отозв.,2012-06-15 ,Москва
Уральский Трастовый Банк,2523,отозв.,2012-05-31 ,Ижевск
Орелсоцбанк,2921,отозв.,2012-05-23 ,Орел
Холдинг-Кредит,3030,отозв.,2012-05-16 ,Москва
Сембанк,2606,отозв.,2012-05-16 ,Москва
Универсалтраст,3402,отозв.,2012-04-13 ,Москва
ПВ-Банк,634,отозв.,2012-04-13 ,Ульяновск
Международный Инвестиционный Банк,2742,отозв.,2012-04-05 ,Москва
Сибирский Энергетический Банк,2604,отозв.,2012-04-05 ,Москва
Вэлкомбанк,589,отозв.,2012-02-28 ,Пятигорск
Охотный Ряд,3375,отозв.,2012-02-10 ,Москва
Тревел Банк,531,отозв.,2012-01-23 ,Москва
Еврорасчет,3498,отозв.,2011-12-27 ,Москва
Нацпромбанк,2360,отозв.,2011-11-28 ,Москва
Удмуртинвестстройбанк,2447,отозв.,2011-11-15 ,Ижевск
УИК-Банк,1300,отозв.,2011-11-01 ,Челябинск
Тувакредит,1202,отозв.,2011-11-01 ,Кызыл
Галабанк,3090,отозв.,2011-10-03 ,"с. Красногвардейское, Адыгея"
Кодекс,2746,отозв.,2011-09-30 ,Москва
Евросоюз,3411,отозв.,2011-08-26 ,Москва
АМТ Банк,2820,отозв.,2011-07-21 ,Москва
Ратибор-Банк,2174,отозв.,2011-07-14 ,Москва
Русич Центр Банк,2793,отозв.,2011-07-14 ,Москва
Международный Торгово-Промышленный Банк,1203,отозв.,2011-05-05 ,Тверь
Соцгорбанк,1827,отозв.,2011-04-18 ,"Мытищи, Московская обл."
Востокбизнесбанк,1342,отозв.,2011-04-14 ,Владивосток
Неополис-Банк,2809,отозв.,2011-03-24 ,Москва
Мультибанк,2235,отозв.,2011-03-10 ,Москва
Наш Банк,1340,отозв.,2011-02-17 ,Москва
МФТ-Банк,3356,отозв.,2011-01-18 ,Москва
Банк Долгосрочного Кредитования,3391,отозв.,2010-12-29 ,Москва
Донбанк,2984,отозв.,2010-12-21 ,"Каменск-Шахтинский, Ростовская обл."
Русско-Германский Торговый Банк,2747,отозв.,2010-12-21 ,Москва
Уралфинпромбанк,3119,отозв.,2010-12-20 ,Екатеринбург
Монетный Дом,419,отозв.,2010-12-20 ,Челябинск
Приватхолдингбанк,3372,отозв.,2010-12-14 ,Москва
Империя,2535,отозв.,2010-12-14 ,Москва
Транштрейд (НКО),2676,отозв.,2010-12-14 ,Махачкала
Традо-Банк,1065,отозв.,2010-12-03 ,Москва
Славянский Банк,383,отозв.,2010-12-03 ,Москва
Востоккредитбанк,922,отозв.,2010-11-24 ,Благовещенск
Соцэкономбанк,2917,отозв.,2010-11-24 ,Москва
Петрофф-Банк,2466,отозв.,2010-11-01 ,Москва
Межпромбанк Плюс,3282,отозв.,2010-10-21 ,Москва
Тройка,2051,отозв.,2010-10-21 ,Москва
Международный Промышленный Банк,2056,отозв.,2010-10-05 ,Москва
Сахадаймондбанк,3272,отозв.,2010-09-30 ,Москва
Борский Коммерческий Банк,1303,отозв.,2010-09-30 ,"Бор, Нижегородская обл."
Первый Капитал,3201,отозв.,2010-08-13 ,Москва
Хоум-Банк,2397,отозв.,2010-07-08 ,Москва
Удмуртский Пенсионный Банк,1764,отозв.,2010-06-17 ,Ижевск
Объединенный Горный Банк,2925,отозв.,2010-03-04 ,Москва
С-Банк,1857,отозв.,2010-02-26 ,Ижевск
Микомс-Банк,2653,отозв.,2010-02-18 ,Москва
ТНГИБанк,2560,отозв.,2010-02-11 ,Томск
Минераловодский,888,отозв.,2010-02-11 ,"Минеральные Воды, Ставропольский край"
Арвеста,2926,отозв.,2010-02-04 ,Армавир
Промбанк,307,отозв.,2009-12-29 ,Москва
Мега Банк,2220,отозв.,2009-12-24 ,Тюмень
Международная Расчетная Палата (НКО),2365,отозв.,2009-12-17 ,Москва
Сир,1904,отозв.,2009-12-10 ,Якутск
Межрегиональный Инвестиционный Банк,2788,отозв.,2009-11-19 ,Москва
Кубань,98,отозв.,2009-11-19 ,Москва
Универсал,2565,отозв.,2009-10-29 ,"Первоуральск, Свердловская обл."
Сенатор,3302,отозв.,2009-10-29 ,Москва
Либра,2980,отозв.,2009-10-09 ,Москва
Взаимный Банк,3445,отозв.,2009-10-09 ,Москва
Первомайский,652,отозв.,2009-09-24 ,Ижевск
Межбизнесбанк,3280,отозв.,2009-09-03 ,Москва
Векомбанк,2844,отозв.,2009-09-03 ,Калуга
Вымпел,2874,отозв.,2009-08-27 ,Москва
Град-Банк,2750,отозв.,2009-08-20 ,Хабаровск
Банк Высоких Технологий,3167,отозв.,2009-07-30 ,Москва
Межрегфинкомбанк,658,отозв.,2009-07-10 ,Москва
Евро Трейд,3432,отозв.,2009-07-02 ,Москва
Интернациональный Торговый Банк,3063,отозв.,2009-06-25 ,Москва
Индустриальный,3156,отозв.,2009-06-25 ,Москва
Соотечественники,2931,отозв.,2009-06-18 ,Омск
Расчетная палата МРС (НКО),3469,отозв.,2009-05-21 ,Москва
Столыпин,2946,отозв.,2009-05-21 ,Москва
Поволжский Немецкий Банк,2967,отозв.,2009-05-07 ,Саратов
Юникбанк,2336,отозв.,2009-04-23 ,Москва
Петро-Аэро-Банк,3227,отозв.,2009-04-23 ,Санкт-Петербург
Сибирско-Московский Коммерческий Банк,3069,отозв.,2009-04-16 ,Москва
Фемили,346,отозв.,2009-04-16 ,Москва
НПК-Банк,3442,отозв.,2009-03-30 ,Москва
Федеральный Инвестиционный Банк,1422,отозв.,2009-03-30 ,Москва
Соцкредитбанк,2553,отозв.,2009-03-19 ,Уфа
Муниципальный Коммерческий Банк,1731,отозв.,2009-03-05 ,Калининград
Южный Торговый Банк,2478,отозв.,2009-03-05 ,Ростов-на-Дону
Судкомбанк,1428,отозв.,2009-02-19 ,Москва
Банк ВЕФК - Урал,2223,отозв.,2009-02-19 ,Екатеринбург
Инкасбанк,2685,отозв.,2009-02-19 ,Санкт-Петербург
Империал-Центр (НКО),3478,отозв.,2009-02-10 ,Москва
Каури,776,отозв.,2009-02-10 ,Пермь
Урайкомбанк,667,отозв.,2009-02-10 ,"Урай, Тюменская область"
Московский Капитал,3044,отозв.,2009-02-02 ,Москва
Московский Залоговый Банк,2475,отозв.,2009-02-02 ,Москва
Астраханьпромбанк,118,отозв.,2009-01-27 ,Астрахань
Прикамье,844,отозв.,2009-01-19 ,Пермь
Агрохимбанк,119,отозв.,2008-12-30 ,Москва
Капитал Кредит,2625,отозв.,2008-12-26 ,Москва
Электроника,488,отозв.,2008-12-26 ,Москва
Боровицкие Ворота,3211,отозв.,2008-12-26 ,Москва
Зелак-Банк,1813,отозв.,2008-12-19 ,Москва
Сетевой Нефтяной Банк,2720,отозв.,2008-12-19 ,Калининград
Балткредобанк,2039,отозв.,2008-12-19 ,Калининград
Тюменьэнергобанк,2419,отозв.,2008-12-04 ,Тюмень
Газинвестбанк,3212,отозв.,2008-12-04 ,Москва
Интегро,3215,отозв.,2008-11-27 ,Москва
Курганпромбанк,1218,отозв.,2008-11-27 ,Курган
Сибконтакт,1915,отозв.,2008-11-20 ,Нягань
Сочи,1271,отозв.,2008-11-20 ,Сочи
Лефко-Банк,1605,отозв.,2008-11-14 ,Москва
Мира-Банк,3361,отозв.,2008-11-12 ,Москва
Эконацбанк,2765,отозв.,2008-11-12 ,Москва
Русский Банкирский Дом,2686,отозв.,2008-10-23 ,Москва
Юнитбанк,2848,отозв.,2008-10-16 ,Самара
Евразия-Центр,2839,отозв.,2008-10-10 ,Москва
Премьер,3,отозв.,2008-08-27 ,Москва
Сахалин-Вест,1668,отозв.,2008-08-07 ,Южно-Сахалинск
Медпроминвестбанк,2908,отозв.,2008-07-03 ,Москва
Республиканский Резервный Банк,3394,отозв.,2008-07-03 ,Москва
Партнербанк,1992,отозв.,2008-06-16 ,"с. Балтай, Саратовская обл."
Промкредитбанк,3348,отозв.,2008-06-05 ,Москва
Кредитсоюзкомбанк,2891,отозв.,2008-05-22 ,Москва
Красбанк,1569,отозв.,2008-05-22 ,Москва
Мединвестбанк,2058,отозв.,2008-05-12 ,Москва
Крайний Север,2373,отозв.,2008-03-13 ,Петропавловск-Камчатский
Рыбхозбанк,241,отозв.,2008-03-06 ,Москва
Банк Промышленного Развития,3369,отозв.,2008-01-30 ,Москва
Интелфинанс,2893,отозв.,2008-01-17 ,Москва
Объединенный Региональный Банк,3374,отозв.,2008-01-11 ,Москва
Китеж,3208,отозв.,2007-12-20 ,Москва
Бикбанк,3448,отозв.,2007-11-27 ,Москва
Сатурн,224,отозв.,2007-11-27 ,Москва
Самолетбанк,1610,отозв.,2007-11-27 ,"Химки, Московская обл."
Русская Инвестиционная Группа,2464,отозв.,2007-11-20 ,Москва
Ипотечный Банк Развития Регионов,1514,отозв.,2007-11-15 ,Ростов-на-Дону
Фундамент-Банк,2118,отозв.,2007-11-15 ,Москва
Имидж,2392,отозв.,2007-11-01 ,Москва
Международный Социальный Банк,3108,отозв.,2007-10-26 ,Москва
Эра,1435,отозв.,2007-10-26 ,Москва
Частный Капитал,2579,отозв.,2007-10-26 ,Москва
Магаданский,2082,отозв.,2007-10-18 ,Москва
Алгоритм (НКО),3464,отозв.,2007-10-18 ,Москва
Инвестиционный Промэнергобанк,3046,отозв.,2007-09-27 ,Москва
Альянс Банк,3182,отозв.,2007-09-27 ,Москва
Благовест,740,отозв.,2007-09-27 ,Москва
Фалькон,2514,отозв.,2007-09-20 ,Москва
Атис (НКО),2358,отозв.,2007-09-13 ,Москва
Иберус,3259,отозв.,2007-09-05 ,Москва
Волго-Дон Банк,2612,отозв.,2007-08-30 ,Волгоград
Волго-Дон Банк,2612,отозв.,2007-08-30 ,Волгоград
Эрмитаж,2955,отозв.,2007-08-16 ,Москва
Международный Банк Сотрудничества,1200,отозв.,2007-08-16 ,Москва
Алекскомбанк,943,отозв.,2007-07-26 ,"Александров, Владимирская обл."
Ярослав,2906,отозв.,2007-07-10 ,Ярославль
Пико-Банк,1782,отозв.,2007-06-21 ,Москва
Общий,3218,отозв.,2007-06-06 ,Москва
Мордовсоцбанк,741,отозв.,2007-06-06 ,Саранск
Российский Городской Коммерческий Банк,3248,отозв.,2007-05-24 ,Москва
Лео-Банк,1056,отозв.,2007-05-18 ,Москва
Стройпромбанк,603,отозв.,2007-05-11 ,Москва
Финансово-Кредитный Банк,750,отозв.,2007-05-11 ,Москва
Санкт-Петербургский Банк Реконструкции и Развития,3150,отозв.,2007-05-03 ,Санкт-Петербург
Экспортбанк,3210,отозв.,2007-04-26 ,Москва
Диамонд-Банк,3225,отозв.,2007-04-26 ,Москва
Антарес,734,отозв.,2007-04-06 ,Махачкала
Сибирский Банк Развития,2501,отозв.,2007-04-06 ,Москва
Хасавюртовский,1687,отозв.,2007-03-29 ,"Хасавюрт, Дагестан"
Банк Развития и Инвестиций,2770,отозв.,2007-03-29 ,Москва
МФД-Клиринг,3305,отозв.,2007-03-23 ,Москва
Городской Расчетный Корпоративный Банк,3281,отозв.,2007-03-19 ,Москва
Объединенный Кредитный Альянс,3406,отозв.,2007-03-19 ,Москва
Рубин,3129,отозв.,2007-03-09 ,Махачкала
Городской Клиентский,3392,отозв.,2007-02-01 ,Москва
Евростройбанк,3453,отозв.,2007-01-25 ,Москва
Градобанк,2563,отозв.,2007-01-25 ,Москва
Межрегиональный Расчетный Центр (НКО),3382,отозв.,2007-01-18 ,Москва
Новокубанский,576,отозв.,2007-01-18 ,Москва
Сибэкономбанк,1824,отозв.,2007-01-18 ,Москва
Ринк-Банк,2717,отозв.,2006-12-27 ,"Клин, Московская обл."
Форпост,2575,отозв.,2006-12-27 ,Москва
Фабер-Банк,2359,отозв.,2006-12-21 ,Москва
Инбанкпродукт,3191,отозв.,2006-12-21 ,Москва
Мигрос,3086,отозв.,2006-12-21 ,Москва
Расчетный Клиринговый Центр (НКО),3462,отозв.,2006-12-14 ,Москва
Профбанк,235,отозв.,2006-12-05 ,Москва
Бадр-Форте Банк,1567,отозв.,2006-12-05 ,Москва
Европроминвест,1952,отозв.,2006-11-03 ,Москва
Интерсвязьбанк,2154,отозв.,2006-11-03 ,Москва
Стройкредитинвест,3146,отозв.,2006-10-12 ,Москва
Хард-Банк,2092,отозв.,2006-10-05 ,Саратов
Торгово-Инвестиционный Банк,2823,отозв.,2006-09-28 ,Москва
Универсалстройбанк,3021,отозв.,2006-09-28 ,Москва
Русский Банк Имущественной Опеки,2701,отозв.,2006-09-21 ,Москва
Кумост-Инкасс (НКО),3347,отозв.,2006-09-21 ,Москва
Бэлком,2222,отозв.,2006-09-08 ,Москва
Неман,1041,отозв.,2006-09-05 ,"Неман, Калининградская обл."
Дисконт,1234,отозв.,2006-09-01 ,Москва
Объединенный Транспортный Банк,3169,отозв.,2006-08-31 ,Москва
Трансрегиональная Финансовая Компания,3362,отозв.,2006-08-31 ,Москва
Федеральный Промышленный Банк,2489,отозв.,2006-08-24 ,Москва
Центурион,2991,отозв.,2006-08-24 ,Москва
Универбанк,2525,отозв.,2006-08-24 ,Москва
Банк Инвестиций и Кредитования,2102,отозв.,2006-08-10 ,Москва
Фонон,209,отозв.,2006-08-10 ,Москва
Интерконтакт,3363,отозв.,2006-07-27 ,Москва
Федеральный Банк Развития,2792,отозв.,2006-07-14 ,Москва
Мособлинвестбанк,470,отозв.,2006-07-14 ,Москва
Евроазиатский Финансовый Альянс,3376,отозв.,2006-06-28 ,Москва
Юнион-Трэйд,3355,отозв.,2006-06-23 ,Москва
Экситон,3412,отозв.,2006-06-23 ,Москва
ИФКО-Банк,2872,отозв.,2006-06-16 ,Москва
ВИП-Банк,1421,отозв.,2006-06-16 ,Москва
Стройбанк,2940,отозв.,2006-06-16 ,Краснодар
Европейский Расчетный Банк,3148,отозв.,2006-06-07 ,Москва
Моспромбанк,1890,отозв.,2006-06-07 ,"п.Шереметьевский, Московская обл."
Петровка,2640,отозв.,2006-06-01 ,Москва
Банк Реконструкции и Финансового Оздоровления,1170,отозв.,2006-05-11 ,"Благодарный, Ставропольский край"
Нефтяной,1423,отозв.,2006-05-04 ,Москва
Альянс-Капитал,3230,отозв.,2006-04-27 ,Москва
Русские Финансовые Традиции,2934,отозв.,2006-04-21 ,Москва
РТБ-Банк,3076,отозв.,2006-04-21 ,Москва
Межотраслевой Промышленный Банк,3133,отозв.,2006-04-21 ,Москва
Банк Инвестиций и Технологий,2367,отозв.,2006-04-05 ,Москва
Красноярский Социальный Коммерческий Банк,2840,отозв.,2006-04-05 ,Красноярск
Национальное расчетно-кредитное общество (НКО),3438,отозв.,2006-03-30 ,Москва
Арчекас,795,отозв.,2006-03-30 ,Москва
Банк Развития Предпринимательства и Культуры,1436,отозв.,2006-03-23 ,Москва
Региональная Перспектива,2976,отозв.,2006-03-23 ,Москва
Панэмстройбанк,3158,отозв.,2006-03-23 ,Москва
Делна банк,971,отозв.,2006-02-27 ,Москва
Маркетингбанк,689,отозв.,2006-02-16 ,Москва
Миркомбанк,2841,отозв.,2006-02-09 ,Москва
Инкассация Банков и Организаций (НКО),3426,отозв.,2006-02-02 ,Москва
Столичный Капитал,2887,отозв.,2006-01-26 ,Москва
Роскомветеранбанк,1847,отозв.,2006-01-26 ,Москва
Орион,938,отозв.,2006-01-24 ,Ярославль
Галичкомбанк,978,отозв.,2006-01-13 ,"Галич, Костромская обл."
Жилстройэкономбанк,2399,отозв.,2006-01-13 ,Москва
Макпромбанк,3075,отозв.,2005-12-05 ,Москва
Национальный Капитал,1758,отозв.,2005-12-05 ,Москва
Банк Корпорации Резервных Фондов (Банк КРФ),2977,отозв.,2005-11-14 ,Москва
Пошехонский,1255,отозв.,2005-10-27 ,"Пошехонье, Ярославская обл."
НЭП Банк,2075,отозв.,2005-09-15 ,Москва
Алгонбанк,3032,отозв.,2005-09-15 ,Москва
Арбат-Банк,3074,отозв.,2005-09-08 ,Москва
Алмаззолото Банк,3196,отозв.,2005-09-08 ,Москва
Оптимумбанк,94,отозв.,2005-09-01 ,Москва
Арат,1947,отозв.,2005-08-25 ,"п.Каа-Хем, Тува"
Эмал,3103,отозв.,2005-08-25 ,Москва
Национальный Коммерческий Банк,2730,отозв.,2005-08-18 ,Москва
ИнтеРУС-Банк,2585,отозв.,2005-08-10 ,Москва
Деловая Москва,3157,отозв.,2005-08-04 ,Москва
Международный Банк Экономического Развития,1696,отозв.,2005-07-21 ,Москва
Русский Банк Капитала,2047,отозв.,2005-07-15 ,Москва
Новый Русский Банк,3258,отозв.,2005-07-08 ,Москва
Юстибанк,2096,отозв.,2005-07-08 ,Москва
Век-Банк,2139,отозв.,2005-07-01 ,Москва
МНКО Ростов-на-Дону,3389,отозв.,2005-07-01 ,Ростов-на-Дону
Еврозапсиббанк,2826,отозв.,2005-06-17 ,Москва
РНКО «Автодор»,3243,отозв.,2005-06-10 ,Саратов
Банк Проектного Кредитования,2159,отозв.,2005-05-20 ,Москва
ЛИОС-Банк,2963,отозв.,2005-05-13 ,Москва
Гранит,2962,отозв.,2005-05-13 ,Москва
Подворье Банк,2601,отозв.,2005-05-06 ,Москва
Республиканское Финансовое Объединение (РФО),3428,отозв.,2005-04-22 ,Москва
Инвестрасчет,1855,отозв.,2005-03-18 ,Москва
Национальный Расчетный Банк,2899,отозв.,2005-03-11 ,Москва
Пресня-Банк,1138,отозв.,2005-03-11 ,Москва
Олимпийский,1625,отозв.,2005-02-10 ,Москва
АКА Банк,2057,отозв.,2005-02-10 ,Москва
Кристалбанк,1934,отозв.,2005-01-27 ,Москва
Союзобщемашбанк,3162,отозв.,2005-01-19 ,Москва
Онэст Банк,2959,отозв.,2005-01-12 ,Москва
АСБ-Банк,1892,отозв.,2004-12-30 ,Москва
Удмуртпромстройбанк,928,отозв.,2004-12-16 ,"Можга, Удмуртия"
Родник,2505,отозв.,2004-12-08 ,Москва
Национальный,3297,отозв.,2004-12-08 ,Москва
Курганинкасс,3331,отозв.,2004-12-01 ,Курган
Большая Волга,2709,отозв.,2004-12-01 ,Дубна
Русский Национальный Инвестиционный Банк,3253,отозв.,2004-11-24 ,Москва
Ярбанк,1483,отозв.,2004-11-24 ,Красноярск
Вертикаль,3425,отозв.,2004-11-24 ,Москва
Внешагробанк,2162,отозв.,2004-11-11 ,Москва
Таймыр,1334,отозв.,2004-10-27 ,Дудинка
РФГ-Банк,2508,отозв.,2004-10-27 ,Москва
Инвеско-Банк,2293,отозв.,2004-10-27 ,Обнинск
Стайл-Банк,1834,отозв.,2004-10-07 ,Москва
Финансторгбанк,3358,отозв.,2004-09-29 ,Москва
Меритбанк,3051,отозв.,2004-09-09 ,Москва
Банк Сбережений и Развития,1523,отозв.,2004-09-06 ,Сыктывкар
Павелецкий,2930,отозв.,2004-08-13 ,Москва
Диалог-Оптим,3107,отозв.,2004-08-11 ,Москва
Мосжилстройбанк,2206,отозв.,2004-07-29 ,Москва
Промэксимбанк,2847,отозв.,2004-07-29 ,Москва
Коммерческий Банк Сбережений,3220,отозв.,2004-07-29 ,Москва
РИКОМ,3092,отозв.,2004-07-29 ,Москва
Кредиттраст,2993,отозв.,2004-06-24 ,Москва
Новочеркасский Городской Банк,1018,отозв.,2004-05-29 ,Новочеркасск
Содбизнесбанк,1601,отозв.,2004-05-13 ,Москва
Нефтегазбанк,2832,отозв.,2004-04-28 ,Москва
Пермский Банк Развития,2246,отозв.,2004-03-25 ,Пермь
Легпромбанк,1728,отозв.,2004-02-09 ,Москва
Империал,1315,отозв.,2004-01-21 ,Москва
Ярмарочный Банк,3246,отозв.,2003-12-31 ,Нижний Новгород
Московский Резервный Банк,3219,отозв.,2003-11-28 ,Москва
Сахабилиибанк,2570,отозв.,2003-11-26 ,Якутск
Компания по проектному финансированию (КОПФ),2561,отозв.,2003-09-22 ,Москва
Росинбанк,3366,отозв.,2003-09-22 ,Москва
Товарищество Взаимного Кредита (ТВК Банк),3110,отозв.,2003-09-22 ,Москва
Военный Банк,1590,отозв.,2003-09-03 ,Москва
Объединенный Промышленный Банк,2878,отозв.,2003-08-20 ,Москва
Андреевский,1994,отозв.,2003-07-03 ,Москва
Прима-Банк,1513,отозв.,2003-06-17 ,Москва
Казакбанк,2284,отозв.,2003-04-30 ,Армавир
Энергосбербанк,1863,отозв.,2003-04-18 ,Москва
Объединенный Банк,1703,отозв.,2003-04-18 ,Москва
Лесобанк,3007,отозв.,2003-01-30 ,Архангельск
Первый Городской Банк,234,отозв.,2002-12-19 ,Москва
Стройинвест,69,отозв.,2002-12-19 ,Москва
Волга-Теза (НКО),3387,отозв.,2002-12-11 ,Иваново
Межотраслевой Инвестиционный Банк,3142,отозв.,2002-11-01 ,Москва
Атлантбанк,2446,отозв.,2002-10-10 ,Калининград
Местбанк,373,отозв.,2002-10-10 ,Москва
Якиманка,313,отозв.,2002-09-20 ,Москва
ДАИР,1520,отозв.,2002-09-20 ,Уфа
СНП Кредит (НКО),3352,отозв.,2002-08-28 ,Тюмень
Новатор,2242,отозв.,2002-08-21 ,Москва
Комторгбанк,219,отозв.,2002-08-21 ,Москва
Национальный Торгово-Промышленный Банк,3005,отозв.,2002-08-14 ,Москва
Межрегиональный Расчетный Банк,2521,отозв.,2002-06-27 ,Москва
Международный Банк Развития Машиностроения,1658,отозв.,2002-06-20 ,Москва
Второй Банк,3118,отозв.,2002-05-29 ,Москва
РИФМА-Банк,1443,отозв.,2002-05-13 ,Москва
Интурбанк,1328,отозв.,2002-05-13 ,Москва
Инвестиционная Банковская Корпорация (ИБК),2979,отозв.,2002-04-30 ,Москва
Союзный Банк Развития,2642,отозв.,2002-04-03 ,Москва
Анапа-Инвест,1837,отозв.,2002-04-03 ,Анапа
Соцкомбанк,461,отозв.,2002-03-05 ,Москва
Тюменский Индустриально-Коммерческий Банк,2895,отозв.,2002-01-15 ,Тюмень
ЕСБанк,2476,отозв.,2002-01-15 ,Москва
Внешкредитбанк,3264,отозв.,2002-01-15 ,Москва
Форбанк-СПБ,2689,отозв.,2001-12-26 ,Санкт-Петербург
Инпромтехбанк,2418,отозв.,2001-12-26 ,Москва
Рязаньуниверсалбанк,2822,отозв.,2001-11-15 ,Рязань
Интеллект-Банк,2987,отозв.,2001-10-30 ,Москва
Банк ВДНХ,2791,отозв.,2001-10-05 ,Москва
Инфобанк,2357,отозв.,2001-09-18 ,Москва
Промрадтехбанк,228,отозв.,2001-09-18 ,Москва
Картельбанк,3232,отозв.,2001-09-18 ,Санкт-Петербург
Международный Банк Торговли и Сотрудничества,2308,отозв.,2001-09-18 ,Москва
Пушкинский Акционерный Муниципальный Банк,2858,отозв.,2001-08-16 ,"Пушкино, Московская обл."
Инвесткредит,2630,отозв.,2001-07-27 ,Москва
Бизнес,486,отозв.,2001-07-25 ,Москва
Руспромбанк,2541,отозв.,2001-06-15 ,Москва
Таганский,1742,отозв.,2001-06-15 ,Москва
Диамант,2665,отозв.,2001-06-15 ,Москва
Бизнес-Паритет,3145,отозв.,2001-05-18 ,Москва
Махачкалапромстройбанк,1726,отозв.,2001-05-18 ,Махачкала
Мост-Банк,1582,отозв.,2001-04-20 ,Москва
Мир,1418,отозв.,2001-04-16 ,Москва
Металэкс,513,отозв.,2001-03-22 ,Красноярск
Западно-Балтийский,2517,отозв.,2001-01-22 ,Калининград
Якутия,451,отозв.,2000-12-08 ,Якутск
Кузбассоцбанк,559,отозв.,2000-12-08 ,Кемерово
Московский Банк Промстройматериалов,133,отозв.,2000-12-08 ,Москва
Межрегиональный Банк Развития,3152,отозв.,2000-11-21 ,Москва
Золотой Век,2329,отозв.,2000-11-21 ,Москва
Фламинго-Банк,3109,отозв.,2000-10-19 ,Москва
Кузбасспромбанк,1007,отозв.,2000-10-19 ,Кемерово
Коми Экспортно-Импортный Банк Развития,340,отозв.,2000-09-08 ,Москва
Сберинвест (НКО),3067,отозв.,2000-09-08 ,Москва
ЭксНет,1886,отозв.,2000-09-08 ,Москва
Грантбанк,2556,отозв.,2000-09-08 ,Москва
Чувашский Народный Банк,2674,отозв.,2000-08-31 ,Чебоксары
Нефтяной Капитал,2520,отозв.,2000-08-31 ,Москва
Частный Банк,2036,отозв.,2000-08-31 ,Москва
Электробанк,1070,отозв.,2000-08-31 ,Москва
Росремстройбанк,136,отозв.,2000-08-31 ,Москва
Прометей,2703,отозв.,2000-08-31 ,Москва
Лач,2350,отозв.,2000-08-30 ,Москва
Актив,109,отозв.,2000-07-14 ,Москва
Акционерный Банк Малого Бизнеса (БМБ),1871,отозв.,2000-06-06 ,Москва
Российский Банк Реконструкции и Развития,2485,отозв.,2000-05-05 ,Москва
Росэкспортбанк,2434,отозв.,2000-04-28 ,Москва
Московский Международный Торговый Банк,1584,отозв.,2000-04-28 ,Москва
Земский Земельный Банк,3081,отозв.,2000-04-28 ,Москва
Никольский,2444,отозв.,2000-04-28 ,Москва
Технобанк,274,отозв.,2000-03-25 ,Москва
Интерглоб,2692,отозв.,2000-03-25 ,Москва
Кредитресурс,2777,отозв.,2000-03-25 ,Москва
Почта-Банк,2549,отозв.,2000-03-25 ,Москва
